targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,includedCovariateConceptIds
137,143,16525;16526;16527;15696;15636,1777087;4136632;4204667;21603551;45890025;4263508;964339;1713332;45888775;255334;1734104;1759842,
2,28,16525;16526;16527;15696;15636,1777087;4136632;4204667;21603551;45890025;4263508;964339;1713332;45888775;255334;1734104;1759842,
